import_ref;category_code;caseref;country;origin;type_code;alt_ref;responsible;filing_date;filing_num;registration_date;registration_num;publication_date;publication_num;expire_date;notes;parent_ref;import_ref;type_code;value;language;display_order;type_code;value;language;display_order;import_ref;actor_display_name;role;display_order;rate;actor_ref;date;import_ref;actor_display_name;role;display_order;rate;actor_ref;date;import_ref;actor_display_name;role;display_order;rate;actor_ref;date
IMP-044;TM;TM19MHW08;KR;WO;;;admin;2021-10-13;1440880;;1440880;;;2028-10-22;en cours;;IMP-044;TIT;DERMO IONIQ;en;1;CL;3, 5;en;1;IMP-044;MHW;CLI;1;;;;IMP-044;MHW;OWN;1;;;;IMP-044;;CNT;1;;;
IMP-045;TM;TM19MHW09;SG;WO;;;admin;2021-10-13;1440880;;1440880;;;2028-10-22;en cours;;IMP-045;TIT;DERMO IONIQ;en;1;CL;3, 5;en;1;IMP-045;MHW;CLI;1;;;;IMP-045;MHW;OWN;1;;;;IMP-045;;CNT;1;;;
IMP-046;TM;TM19MHW10;TH;WO;;;admin;2021-10-13;1440880;;1440880;;;2028-10-22;en cours;;IMP-046;TIT;DERMO IONIQ;en;1;CL;3, 5;en;1;IMP-046;MHW;CLI;1;;;;IMP-046;MHW;OWN;1;;;;IMP-046;;CNT;1;;;
IMP-047;TM;TM19MHW11;VN;WO;;;admin;2021-10-13;1440880;;1440880;;;2028-10-22;octroi;;IMP-047;TIT;DERMO IONIQ;en;1;CL;3, 5;en;1;IMP-047;MHW;CLI;1;;;;IMP-047;MHW;OWN;1;;;;IMP-047;;CNT;1;;;
IMP-048;TM;TM20HAPPYDAYS01 ;FR;;;;admin;2018-11-21;4501911;2018-11-21;4501911;2018-11-21;;2028-11-21;;;IMP-048;TIT;HAPPY DAYS;en;1;CL;9, 14, 16, 28, 34, 35;en;1;IMP-048;HAPPY DAYS IN PARIS;CLI;1;;;;IMP-048;HAPPY DAYS IN PARIS;OWN;1;;;;IMP-048;;CNT;1;;;
IMP-049;TM;TM18CGOURMAND01;FR;;;;admin;2018-10-15;4491466;2018-10-15;4491466;2018-11-09;;2028-10-15;;;IMP-049;TIT;C GOURMAND;en;1;CL;35, 38, 41;en;1;IMP-049;C GOURMAND PROD;CLI;1;;;;IMP-049;C GOURMAND PROD;OWN;1;;;;IMP-049;COUDRE;CNT;1;;;
IMP-050;TM;2023HPE03;FR;;;;admin;2023-04-05;4951608;;;;;2033-04-05;;;IMP-050;TIT;WINNCH;en;1;CL;7, 37, 40, 42;en;1;IMP-050;HPE;CLI;1;;;;IMP-050;HPE;OWN;1;;;;IMP-050;HIARD;CNT;1;;;
IMP-051;TM;2023HPE04;FR;;;;admin;2023-04-05;4951605;;;;;2033-04-05;;;IMP-051;TIT;LOGO W;en;1;CL;7, 37, 40, 42;en;1;IMP-051;HPE;CLI;1;;;;IMP-051;HPE;OWN;1;;;;IMP-051;HIARD;CNT;1;;;
IMP-052;DM;DM01HAPPYDAYS01;FR;;;;admin;2013-08-01;20133451;2013-08-01;;;;2028-08-01;4 modeles;;IMP-052;TIT;Bracelets Paris;en;1;CL;;en;1;IMP-052;HAPPY DAYS IN PARIS;CLI;1;;;;IMP-052;HAPPY DAYS IN PARIS;OWN;1;;;;IMP-052;;CNT;1;;;
IMP-053;TM;TM21FERMENTALG11;WO;wo;;;admin;2018-12-22;1474905;;;;;2028-12-22;;;IMP-053;TIT;FERMENTALG;en;1;CL;1, 2, 3, 5, 42;en;1;IMP-053;FERMENTALG;CLI;1;;;;IMP-053;FERMENTALG;OWN;1;;;;IMP-053;COURTIAU;CNT;1;;;
IMP-054;TM;TM21FERMENTALG11;UE;WO;;;admin;2018-12-22;1474905;2019-12-26;;;;2028-12-22;octroi;;IMP-054;TIT;FERMENTALG;en;1;CL;1, 2, 3, 5, 42;en;1;IMP-054;FERMENTALG;CLI;1;;;;IMP-054;FERMENTALG;OWN;1;;;;IMP-054;COURTIAU;CNT;1;;;
